"PubmedID","Title","Publication Date","Non-academic Author(s)","Company Affiliation(s)","Corresponding Author Email"
"40072379","Disease Burden, Temporal Trends, and Cross-Country Inequality Associated with Sociodemographic Indicators in Alzheimer's Disease and Other Dementias.","2025","Yuan Manqiong, Jin Lifen, Fang Ya","State Key Laboratory of Vaccines for Infectious Diseases, School of Public Health, Xiamen University, Xiamen, China; Key Laboratory of Health Technology Assessment of Fujian Province, School of Public Health, Xiamen University, Xiamen, China., State Key Laboratory of Vaccines for Infectious Diseases, School of Public Health, Xiamen University, Xiamen, China; Key Laboratory of Health Technology Assessment of Fujian Province, School of Public Health, Xiamen University, Xiamen, China., State Key Laboratory of Vaccines for Infectious Diseases, School of Public Health, Xiamen University, Xiamen, China; Key Laboratory of Health Technology Assessment of Fujian Province, School of Public Health, Xiamen University, Xiamen, China. Electronic address: fangya@xmu.edu.cn.",""
"40071886","Therapeutics for Dementia and Alzheimer's Disease in Unani Medicine.","2024","","",""
"40071752","High-Throughput Proteoform Imaging for Revealing Spatial-Resolved Changes in Brain Tissues Associated with Alzheimer's Disease.","2025","","",""
"40071377","Impact of 16S rRNA on Intestinal Flora Alterations and Early Diagnosis in Early Alzheimer's Disease Patients.","2025","","",""
"40071123","The role of protein phosphorylation modifications mediated by iron metabolism regulatory networks in the pathogenesis of Alzheimer's disease.","2025","","",""
"40071121","Imaging markers of cerebral small vessel disease are associated with Alzheimer's disease: a systematic review and meta-analysis.","2025","","",""
"40070795","Depletion of nuclear cytoophidia in Alzheimer's disease.","2025","","",""
"40070152","{""_"":""A Brain-Penetrating Foldamer Rescues Aβ Aggregation-Associated Alzheimer's Disease Phenotypes in  Models."",""i"":""In Vivo""}","2025","","",""
"40069789","Pharmacokinetic and pharmacodynamic assessment of oral nicotinamide in the NEAT clinical trial for early Alzheimer's disease.","2025","","",""
"40069342","A comprehensive interpretable machine learning framework for mild cognitive impairment and Alzheimer's disease diagnosis.","2025","","",""
"40068924","Concordance between the updated Elecsys cerebrospinal fluid immunoassays and amyloid positron emission tomography for Alzheimer's disease assessment: findings from the Apollo study.","2025","Schinke Henrik, Gaupp Stefanie, Manuilova Ekaterina, McIlwrick Silja, Weinberger Jan-Philipp, Rutz Sandra, Carboni Margherita","Roche Diagnostics GmbH, Penzberg, Germany., Roche Diagnostics GmbH, Penzberg, Germany., Roche Diagnostics GmbH, Penzberg, Germany., Roche Diagnostics GmbH, Penzberg, Germany., Roche Diagnostics GmbH, Penzberg, Germany., Roche Diagnostics GmbH, Penzberg, Germany., Roche Diagnostics International Ltd, Rotkreuz, Switzerland.",""
"40068480","Association of the HLA-DQB1*02 allele with lower tauopathy in Alzheimer's disease.","2025","","",""
"40068133","{""_"":""Binding Sites of a PET Ligand in Tau Fibrils with the Alzheimer's Disease Fold from F and C Solid-State NMR."",""sup"":[""19"",""13""]}","2025","","",""
"40067757","Neurophysiological correlates of subjective cognitive decline in perimenopausal and postmenopausal midlife women at risk for Alzheimer's disease.","2025","","",""
"40067678","{""_"":""Phytochemical profiling,  molecular docking and ADMET prediction of alkaloid rich fraction of  blume seeds against Alzheimer's disease."",""i"":[""in silico"",""Elaeocarpus angustifolius""]}","2025","","",""
"40066595","Prevalence of malnutrition in patients with Alzheimer's disease - A systematic review. The call for consistent nutritional assessment methods.","2025","","",""
"40066297","Dual orexin receptor antagonists as promising therapeutics for Alzheimer's disease.","2025","","",""
"40065919","Blood-based biomarker prescreening with different testing combinations and cutoffs: A simulation study examining efficacy and cost-effectiveness in Alzheimer's disease prevention studies.","2025","","",""
"40065917","Broad repetitive transcranial magnetic stimulation (rTMS) of the precuneus in Alzheimer's disease: A rationale and study design.","2025","","",""
