"PubmedID","Title","Publication Date","Non-academic Author(s)","Company Affiliation(s)","Corresponding Author Email"
"40072429","Estimation and Hypothesis Testing of Strain-Specific Vaccine Efficacy With Missing Strain Types With Application to a COVID-19 Vaccine Trial.","2025","","",""
"40069117","'I'm glad my baby has weaned so I don't need to make that decision.' Understanding breastfeeding-related COVID-19 vaccine narratives on social media.","2025","","",""
"40057648","Perspectives of Vietnamese Americans Regarding COVID-19 Vaccine Acceptance, Trusted Sources of Information, and Pandemic-related Challenges.","2025","","",""
"40056469","Data Interoperability in COVID-19 Vaccine Trials: Methodological Approach in the VACCELERATE Project.","2025","Ochando Jordi Cano","Microbiology Section, Department of Pharmaceutical Sciences and of Health, Faculty of Pharmacy, Universidad San Pablo-Centro de Estudios Universitarios, Madrid, Spain.",""
"40055685","Corruption risks in COVID-19 vaccine deployment: lessons learned for future pandemic preparedness.","2025","","",""
"40055641","Low parental income level is associated with pediatric COVID-19 vaccine hesitancy in the San Francisco Bay area.","2025","","",""
"40055029","Effectiveness of COVID-19 vaccine against SARS-CoV-2 infection among symptomatic COVID-19 patients in Uganda.","2025","","",""
"40051347","Limitations of neutralizing antibody titers in COVID-19 vaccine efficacy trials and a call for additional correlates of protection.","2025","","",""
"40048931","Durability of COVID-19 vaccine and infection induced immunity: A systematic review and meta-regression analysis.","2025","","",""
"40044482","Acquired haemophilia A following COVID-19 vaccine.","2025","","",""
"40043710","Germline variants and mosaic chromosomal alterations affect COVID-19 vaccine immunogenicity.","2025","","",""
"40037238","Comparative analysis of fourteen COVID-19 vaccine injury compensation systems and claim approval rates.","2025","Chang Tzu-Hao, Ho Jen-Ji","Graduate Institute of Biomedical Informatics, Taipei Medical University, Address: 9F., Education & Research Building, Taipei Medical University (Shuang-Ho Campus), No. 301, Yuantong Rd., Zhonghe Dist., New Taipei City 235, Taiwan; Clinical Big Data Research Center, Taipei Medical University Hospital, Taipei, Taiwan. Electronic address: kevinchang@tmu.edu.tw., Graduate Institute of Health and Biotechnology Law, Taipei Medical University, Address: 5F., Education & Research Building, Taipei Medical University (Shuang-Ho Campus), No. 301, Yuantong Rd., Zhonghe Dist., New Taipei City 235, Taiwan. Electronic address: hojenji@tmu.edu.tw.",""
"40035831","Influence of rapidly increased numbers of reports on adverse events of the COVID-19 vaccine in the Japanese pharmacovigilance database on disproportionality analysis of antineoplastic drug-associated adverse cardiovascular events.","2024","Tanaka Hiroyuki, Endo Kiri, Ishii Toshihiro","Department of Practical Pharmacy, Faculty of Pharmaceutical Sciences, Toho University, Chiba, Japan., Department of Practical Pharmacy, Faculty of Pharmaceutical Sciences, Toho University, Chiba, Japan., Department of Practical Pharmacy, Faculty of Pharmaceutical Sciences, Toho University, Chiba, Japan.",""
"40034704","XBB.1.5 mRNA COVID-19 vaccine protection against inpatient or emergency department visits among adults infected with SARS-CoV-2 JN.1 and XBB-lineage variants.","2025","","",""
"40034643","Purpura Annularis Telangiectodes of Majocchi Following a Booster Dose of the Pfizer-BioNTech COVID-19 Vaccine: Coincidence or Correlation?","2025","","",""
"40034498","Sociobehavioural factors associated with SARS-CoV-2 infection and COVID-19 vaccine effectiveness against medically attended, symptomatic SARS-CoV-2 infection in the Philippines: a prospective case-control study (FASCINATE-P study).","2025","","",""
"40034470","Community-engaged curriculum development using racial justice and biomedical lenses to address COVID-19 vaccine hesitancy in black individuals with rheumatologic conditions.","2024","Fleurissaint Dieufort, Garrett Denice, Nelson Mary Ann","True Alliance Center, Inc., Boston, MA, United States., Action for Boston Community Development, Inc., Boston, MA, United States., Mission Hill Health Movement Inc., Roxbury, MA, United States.",""
"40032534","Disparities in COVID-19 vaccine coverage and risk factors among individuals with disabilities.","2025","Choi HeeKyoung, Han Euna","Department of Infectious Diseases, National Health Insurance Service Ilsan Hospital, Goyang, Republic of Korea; College of Pharmacy, Yonsei Institute of Pharmaceutical Sciences, Yonsei University, Seoul, Republic of Korea., College of Pharmacy, Yonsei Institute of Pharmaceutical Sciences, Yonsei University, Seoul, Republic of Korea. Electronic address: eunahan@yonsei.ac.kr.",""
"40026131","Examining COVID-19 Vaccine Hesitancy in Nairobi, Kenya, Using the Modified 5 Cs Model.","2025","","",""
"40024835","Factors associated with mortality among patients aged 12 years and above requiring hospitalization for severe respiratory illness (SRI): Findings from the COVID-19 vaccine effectiveness evaluation in Kenya and Mali, 2022-2023.","2025","","",""
