"PubmedID","Title","Publication Date","Non-academic Author(s)","Company Affiliation(s)","Corresponding Author Email"
"40054664","Advancing type 1 diabetes treatment: a breakthrough in stem cell therapy.","2025","","",""
"40051625","Single-cell genomics and spatial transcriptomics in islet transplantation for diabetes treatment: advancing towards personalized therapies.","2025","","",""
"40030700","Autoencoder-based Detection of Insulin Pump Faults in Type 1 Diabetes Treatment.","2024","","",""
"40015399","Combination of citrus peel-derived essential oils with acarbose to inhibit amylolytic enzymes - A potential type II diabetes treatment approach.","2025","","",""
"39968560","System Dynamics Modeling for Diabetes Treatment and Prevention Planning.","2025","","",""
"39950714","Mesoporous Semi-Permeable Flexible Polyurethane Membranes: Advancing Bioartificial Pancreas Design for Type 1 Diabetes Treatment.","2025","","",""
"39856085","The interface of depression and diabetes: treatment considerations.","2025","","",""
"39850718","Machine learning and molecular dynamics simulations predict potential TGR5 agonists for type 2 diabetes treatment.","2024","Enejoh Ojochenemi A, Mbaoji Florence N","Genetics, Genomics and Bioinformatics Department, National Biotechnology Research and Development Agency, Abuja, Nigeria., Department of Pharmacology and Toxicology, Faculty of Pharmaceutical Sciences, University of Nigeria, Nsukka, Enugu, Nigeria.",""
"39770527","{""_"":""A Novel In Vivo Method Using  to Evaluate α-Glucosidase Inhibition by Natural Products for Type 2 Diabetes Treatment."",""i"":""Caenorhabditis elegans""}","2024","de Torre María Pilar","Department of Pharmaceutical Sciences, School of Pharmacy and Nutrition, University of Navarra, Irunlarrea 1, 31008 Pamplona, Spain.",""
"39716238","A novel self-assembling peptide nanofiber hydrogel with glucagon-like peptide-1 functionality enhances islet survival to improve islet transplantation outcome in diabetes treatment.","2024","","",""
"39710070","Health disparities in diabetes treatment: The challenge of G6PD deficiency.","2025","","",""
"39691108","Frederick G Banting (1891-1941): A Pioneer in Diabetes Treatment.","2024","","",""
"39688092","Psychometric evaluation of the Swedish version of the Diabetes Treatment Satisfaction Questionnaire - Parent version.","2024","Rudilla David","Air Liquide Healthcare Spain, University Hospital La Princesa, Madrid, Spain.",""
"39686755","Transdermal Insulin Delivery Using Ionic Liquid-Mediated Nanovesicles for Diabetes Treatment.","2025","","",""
"39666113","The potential of precision diabetology for type 2 diabetes treatment-evidence from a meta-regression for all-cause mortality from large cardiovascular outcome trials.","2024","","",""
"39611572","Prevalence trends of type 2 diabetes treatment, dyslipidemia and hepatic steatosis in Northeast Germany.","2025","","",""
"39592049","A pH-responsive microneedle patch for the transdermal delivery of biomineralized insulin nanoparticles to diabetes treatment.","2025","Lin Yuhong, Wu Jue, Zhuang Zihao, Gong Xiaochen, Jin Zheng, Zhao Kai","Zhejiang Provincial Key Laboratory of Plant Evolutionary Ecology and Conservation, Taizhou Key Laboratory of Biomedicine and Advanced Dosage Forms, School of Life Science, Taizhou University, Taizhou, Zhejiang 318000, China., Zhejiang Provincial Key Laboratory of Plant Evolutionary Ecology and Conservation, Taizhou Key Laboratory of Biomedicine and Advanced Dosage Forms, School of Life Science, Taizhou University, Taizhou, Zhejiang 318000, China., Zhejiang Provincial Key Laboratory of Plant Evolutionary Ecology and Conservation, Taizhou Key Laboratory of Biomedicine and Advanced Dosage Forms, School of Life Science, Taizhou University, Taizhou, Zhejiang 318000, China., Zhejiang Provincial Key Laboratory of Plant Evolutionary Ecology and Conservation, Taizhou Key Laboratory of Biomedicine and Advanced Dosage Forms, School of Life Science, Taizhou University, Taizhou, Zhejiang 318000, China; School of Medical Technology, Qiqihar Medical University, Heilongjiang, Qiqihar 161006, China., Zhejiang Provincial Key Laboratory of Plant Evolutionary Ecology and Conservation, Taizhou Key Laboratory of Biomedicine and Advanced Dosage Forms, School of Life Science, Taizhou University, Taizhou, Zhejiang 318000, China., Zhejiang Provincial Key Laboratory of Plant Evolutionary Ecology and Conservation, Taizhou Key Laboratory of Biomedicine and Advanced Dosage Forms, School of Life Science, Taizhou University, Taizhou, Zhejiang 318000, China; Taizhou Central Hospital, Taizhou University Hospital, Taizhou University, Taizhou, Zhejiang 318000, China; Wenzhou Medical University, Wenzhou, Zhejiang 325035, China. Electronic address: zybin395@126.com.",""
"39572014","Diabetes treatment: beyond glycemia.","2025","","",""
"39547136","A 3D-printed microdevice encapsulates vascularized islets composed of iPSC-derived β-like cells and microvascular fragments for type 1 diabetes treatment.","2025","","",""
"39456025","Islet cell spheroids produced by a thermally sensitive scaffold: a new diabetes treatment.","2024","Li Hanbing","Department of Pharmaceutical Sciences, Institute of Pharmacology, Zhejiang University of Technology, Hangzhou, Zhejiang, 310014, P. R. China. hanniballee@zjut.edu.cn.",""
