"PubmedID","Title","Publication Date","Non-academic Author(s)","Company Affiliation(s)","Corresponding Author Email"
"40070185","Hydrogen: an advanced and safest gas option for cancer treatment.","2025","","",""
"40067898","Dual mRNA nanoparticles strategy for enhanced pancreatic cancer treatment and β-elemene combination therapy.","2025","Zhu Qianru, Yu Chuao, Chen Yiquan, Luo Wei, Li Meng, Zou Jianhua, Xie Tian","Key Laboratory of Elemene Class Anti-Cancer Chinese Medicines, Engineering Laboratory of Development and Application of Traditional Chinese Medicines, Collaborative Innovation Center of Traditional Chinese Medicines of Zhejiang Province, School of Pharmacy, Hangzhou Normal University, Hangzhou, Zhejiang 311121, China., Key Laboratory of Elemene Class Anti-Cancer Chinese Medicines, Engineering Laboratory of Development and Application of Traditional Chinese Medicines, Collaborative Innovation Center of Traditional Chinese Medicines of Zhejiang Province, School of Pharmacy, Hangzhou Normal University, Hangzhou, Zhejiang 311121, China., Liangzhu Laboratory, Zhejiang University, Zhejiang Provincial Key Lab of Ophthalmology, Eye Center of The Second Affliated Hospital, Zhejiang University, Hangzhou, Zhejiang 311121, China., Key Laboratory of Elemene Class Anti-Cancer Chinese Medicines, Engineering Laboratory of Development and Application of Traditional Chinese Medicines, Collaborative Innovation Center of Traditional Chinese Medicines of Zhejiang Province, School of Pharmacy, Hangzhou Normal University, Hangzhou, Zhejiang 311121, China., Key Laboratory of Elemene Class Anti-Cancer Chinese Medicines, Engineering Laboratory of Development and Application of Traditional Chinese Medicines, Collaborative Innovation Center of Traditional Chinese Medicines of Zhejiang Province, School of Pharmacy, Hangzhou Normal University, Hangzhou, Zhejiang 311121, China., Key Laboratory of Elemene Class Anti-Cancer Chinese Medicines, Engineering Laboratory of Development and Application of Traditional Chinese Medicines, Collaborative Innovation Center of Traditional Chinese Medicines of Zhejiang Province, School of Pharmacy, Hangzhou Normal University, Hangzhou, Zhejiang 311121, China., Key Laboratory of Elemene Class Anti-Cancer Chinese Medicines, Engineering Laboratory of Development and Application of Traditional Chinese Medicines, Collaborative Innovation Center of Traditional Chinese Medicines of Zhejiang Province, School of Pharmacy, Hangzhou Normal University, Hangzhou, Zhejiang 311121, China.",""
"40067653","Harnessing State-of-the-Art Gene Therapy to Transform Oral Cancer Treatment.","2025","","",""
"40067346","Mobile Electronic Patient-Reported Outcomes and Interactive Support During Breast and Prostate Cancer Treatment: Health Economic Evaluation From Two Randomized Controlled Trials.","2025","","",""
"40066656","Socioeconomic Disparities in Prostate Cancer Treatment: The Impact of Area Deprivation Index on Initial Treatment Type for Localized PCa in a North-American Cohort.","2025","","",""
"40066333","Cepharanthine hydrochloride: a novel ferroptosis-inducing agent for prostate cancer treatment.","2025","Guan Jing-Song, Jia Jing, Zhou Yu-Qing, Zheng Jing-Jie, Lin Qi-Man, Fan Jiang-Lin","Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China.",""
"40066079","Novel therapeutic strategies and recent advances in gut microbiota synergy with nanotechnology for colorectal cancer treatment.","2025","","",""
"40063841","Pyrazolopyrimidines: A promising frontier in cancer treatment- Reviewing their potential as inhibitors of serine/threonine kinases.","2025","Abdelhamed Ahmed M, Helwa Amira A, Kadry Hanan H, Ahmed Hassan Rasha","Misr University for Science and Technology, Pharmaceutical Organic Chemistry Department,, October, 6 october, EGYPT., Misr University for Science and Technology, Pharmaceutical Organic Chemistry Department,, October, October, EGYPT., Cairo University Faculty of Pharmacy, Pharmaceutical Organic Chemistry Department, Kasr Elini, Cairo, EGYPT., Cairo University Faculty of Pharmacy, Pharmaceutical Orghanic Chemistry, Kasr Elinin street, 00000, Cairo, EGYPT.",""
"40063332","Frequency and predictors of caregiver burden among patients with cancer receiving palliative cancer treatment.","2025","","",""
"40061961","Antibody-drug conjugate combinations in cancer treatment: clinical efficacy and clinical study perspectives.","2025","","",""
"40061894","Analysis of the efficacy and safety of camrelizumab combined with chemotherapy for cervical cancer treatment.","2025","","",""
"40061566","Harnessing transcriptional regulation of alternative end-joining to predict cancer treatment.","2025","Krishnan Rehna","Princess Margaret Cancer Centre, University Health Network, Toronto, ON M5G 2C1, Canada.",""
"40061477","The molecular mechanism of ginsenoside Rh2 and its octyl ester derivative on anti-angiogenesis in cancer treatment: The battle between PI3K and ROS.","2025","","",""
"40057000","Evaluation of several farnesyloxycarbostyril derivatives as potential 15-LOX-1 inhibitors for prostate cancer treatment.","2025","Bahrami Ahmad Reza, Matin Maryam M","Department of Biology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Industrial Biotechnology Research Group, Institute of Biotechnology, Ferdowsi University of Mashhad, Mashhad, Iran., Department of Biology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Novel Diagnostics and Therapeutics Research Group, Institute of Biotechnology, Ferdowsi University of Mashhad, Mashhad, Iran. Electronic address: matin@um.ac.ir.",""
"40053881","Early Circulating Tumor DNA Kinetics as a Dynamic Biomarker of Cancer Treatment Response.","2025","","",""
"40051525","Biomimetic mineralized DCPA/ anti-CD47 containing thermo-sensitive injectable hydrogel for bone-metastatic prostate cancer treatment.","2025","Wang Qianqian, Feng Chunxiang, Pu Xiaoyong, Li Dong, Jiang Fenglian, Wu Jian, Huang Shang, Fan Junhong, Zhong Ruijuan, Liu Jiumin","Department of Urology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China., Department of Urology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China., Department of Urology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China., Department of Urology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China., Department of Urology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China., Department of Urology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China., Department of Urology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China., Department of Urology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China., Department of Operating Room, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China., Department of Urology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China.",""
"40050802","Engineered multifunctional nanoparticles for enhanced radiation therapy: three-in-one approach for cancer treatment.","2025","Toyang Ngeh, Lowe Henry","Flavocure Biotech Inc, Baltimore, Maryland, USA., Flavocure Biotech Inc, Baltimore, Maryland, USA.",""
"40049619","Dental Management of Patients Undergoing Head and Neck Cancer Treatment.","2025","","",""
"40049193","Revolutionising cancer treatment access in low-income and middle-income countries: a sustainable approach.","2025","","",""
"40049054","Efficacy of Ayurvedic treatment given to cancer patients in the prevention of COVID-19 - A Retrospective Cohort Study at Integrated Cancer Treatment and Research Centre, Wagholi.","2025","","",""
